fn,gain_r,gain_g,gain_b,height,width
ISIC_0052060,0.9039788049916982,1.1071969766140863,1.081582173569987,4000,6000
ISIC_0052349,0.913414538860302,1.079317450816417,1.0756552840652276,4000,6000
ISIC_0058510,0.9132418157556644,1.0826187907853904,1.0730311604101765,4000,6000
ISIC_0073313,0.9237258740809172,1.1232495796165851,1.0191521349798265,4000,6000
ISIC_0073502,0.8948531544746205,1.0518471501160078,1.2129178211610065,1080,1920
ISIC_0074618,0.85913048445267,1.218795602094553,1.2990422764812195,1053,1872
ISIC_0076801,0.8628043929903081,1.2731602509385656,1.19625651463152,1053,1872
ISIC_0077586,0.8860460951282482,1.0683355098013991,1.2510894249355564,1080,1920
ISIC_0082004,0.8789597626014809,1.0726919648548783,1.337094899924197,1080,1920
ISIC_0082785,0.8882048231414964,1.0737928431274033,1.2149095172323074,4000,6000
ISIC_0085332,0.9057258037050103,1.113988644644329,1.0702736306633882,4000,6000
ISIC_0087243,0.8959967832279985,1.109553269971779,1.1111322720707268,4000,6000
ISIC_0088167,0.8706414183182971,1.1022394207545148,1.377430656145764,1080,1920
ISIC_0089356,0.9531754836001265,1.0862648265469619,0.9906601871230574,4000,6000
ISIC_0090283,0.8635877702827087,1.162459546749173,1.3260302760690184,1080,1920
ISIC_0092481,0.9116831386259999,1.115152194853276,1.0518304033846961,4000,6000
ISIC_0095455,0.8696128923686449,1.1559063366244007,1.245050722281943,4000,6000
ISIC_0095790,0.9077542124445417,1.0908051958265532,1.083195365779118,4000,6000
ISIC_0097719,0.90839091638891,1.098668374351685,1.073985947953162,2448,3264
ISIC_0099348,0.9353549006282829,1.0732681856946173,1.0269620636925325,1936,2592
ISIC_0101040,0.8943443019557755,1.0484107605957906,1.2271978239566175,1080,1920
ISIC_0101383,0.9175539018586174,1.0358283546577565,1.1170760472706365,4000,6000
ISIC_0105104,0.8914566640604771,1.0875039435892346,1.1635561891187296,1080,1920
ISIC_0108196,0.8657070169603894,1.2076268141357525,1.2208671544454983,4000,6000
ISIC_0112420,0.8386106596672259,1.4821132645725272,1.7874922601209307,576,768
ISIC_0114232,0.9285247470650754,1.1004748042123518,1.022198436750634,4000,6000
ISIC_0115798,0.9163856684955708,1.107802592477224,1.044444214263383,4000,6000
ISIC_0116844,0.9133173705983435,1.1200774900199735,1.0443786727633648,4000,6000
ISIC_0126432,0.8894901575350527,1.1922727331816532,1.0792539138655532,4000,6000
ISIC_0131485,0.9144426995101322,1.0908095840348049,1.0622298816276985,4000,6000
ISIC_0131912,0.899181029805183,1.1165169434372972,1.0913581254144653,4000,6000
ISIC_0131978,0.9171927972809649,1.0899859716034173,1.0553097946161023,4000,6000
ISIC_0139322,0.8963897037691716,1.042961726937769,1.2253307885383635,1080,1920
ISIC_0142066,0.9037130979028689,1.0338310323554885,1.1939545066137454,1080,1920
ISIC_0143109,0.8855560153270172,1.0545211191484112,1.308449840036299,1080,1920
ISIC_0148210,0.8763016391629556,1.1050516199682547,1.2663943788186567,1053,1872
ISIC_0148937,0.9343975526806128,1.0125172803098685,1.0983965523712549,4000,6000
ISIC_0150213,0.8731105568410032,1.0777991532252922,1.4563872152649475,1080,1920
ISIC_0152553,0.9157311815306703,1.0926298163197976,1.0571540630022878,4000,6000
ISIC_0153127,0.8940388979697824,1.0939511163035296,1.1388648137256394,4000,6000
ISIC_0154289,0.8653921293939408,1.1524750131159427,1.3161124771345485,4000,6000
ISIC_0155813,0.8738650672668228,1.1027376807430918,1.3095491914861903,1936,2592
ISIC_0155983,0.8982169574991449,1.062192925844182,1.165222656231075,2448,3264
ISIC_0157088,0.9006689425811761,1.169627015706396,1.0523892738976532,4000,6000
ISIC_0158761,0.8869025565589655,1.106677862196872,1.1645203508688822,4000,6000
ISIC_0161963,0.8725181307659371,1.0852230048311593,1.4212681415792539,1080,1920
ISIC_0165178,0.8662707379263533,1.098103427469177,1.5840154679069975,480,640
ISIC_0165230,0.8825761491879115,1.1005592390700651,1.208265384334124,2848,4288
ISIC_0165615,0.9188159222734867,1.070844292571458,1.0677498882299068,3456,5184
ISIC_0165617,0.8598731639983894,1.3550576017432612,1.1831763519166054,1053,1872
ISIC_0165674,0.9068153981832301,1.0855619522523217,1.0917503450059831,4000,6000
ISIC_0165928,0.9679948537323874,1.0013493336587922,1.0395129072122375,480,640
ISIC_0166561,0.9136771747446978,1.092541358331861,1.0629928942272993,4000,6000
ISIC_0168125,0.8653575378343588,1.1842466933721305,1.2548695662132083,480,640
ISIC_0169378,0.891533176491058,1.044821581577501,1.26866167225594,576,768
ISIC_0169575,0.926960593574888,0.9964419788594684,1.1639733658504798,4000,6000
ISIC_0169906,0.9154347298735699,1.0825231859195263,1.0665378115741564,3456,5184
ISIC_0171865,0.8622852301761786,1.1371838083280965,1.4562132906263798,4000,6000
ISIC_0172678,0.9292371690899488,1.0927181776679216,1.0255890415478948,4000,6000
ISIC_0174800,0.8689891880255646,1.1069365774550888,1.3976701565586493,1053,1872
ISIC_0175014,0.8755445496359284,1.0909383611343066,1.3224871106042282,3456,5184
ISIC_0175798,0.8779807154939379,1.1790017206307268,1.1446905975539179,1936,2592
ISIC_0176152,0.8644368507783645,1.5238149602470803,1.1139029256491262,1053,1872
ISIC_0177083,0.893853196533164,1.104362238488287,1.1269734473086244,4000,6000
ISIC_0178235,0.9475560534447258,1.1279880220309761,0.979409964737934,3456,5184
ISIC_0178258,0.8567228842513523,1.3725113504286623,1.2082830087493122,1053,1872
