,fname,x1t,y1t,x2t,x2t,x1,y1,x2,x2,iou,dx,dy,dw,dh
0,ISIC_0000000,0.04990215,0.17095828,0.87866926,0.74494785,0.06966099,0.23126647,0.8728361,0.76452386,0.8395306468009949,0.0069628656,0.039942116,0.02559203,0.040732205
1,ISIC_0000001,0.35420743,0.35088006,0.6320939,0.5943611,0.34365433,0.33946759,0.6520807,0.6176778,0.7884196043014526,0.004716873,0.00595209,0.0305399,0.034729153
2,ISIC_0000002,0.24168298,0.25798565,0.84540117,0.8417536,0.20269045,0.28093597,0.8055785,0.7964643,0.780323326587677,0.03940761,0.011169493,0.0008301735,0.06823963
3,ISIC_0000003,0.25733855,0.17486963,0.8170254,0.80264014,0.22222319,0.15991345,0.7942207,0.8159752,0.8651074171066284,0.02896005,0.00081056356,0.012310624,0.028291225
4,ISIC_0000004,0.17710371,0.18073665,0.70254403,0.8261082,0.23223431,0.27689847,0.7087477,0.7512796,0.6522479057312012,0.030667126,0.010666609,0.04892695,0.17099044
5,ISIC_0000006,0.32778865,0.31274447,0.6046967,0.6452086,0.31648588,0.31377843,0.6206028,0.64055634,0.896241307258606,0.0023016632,0.0018091798,0.027208865,0.0056862235
6,ISIC_0000007,0.33953032,0.3547914,0.67221135,0.6432529,0.3101915,0.33608174,0.6826596,0.69094086,0.7260022759437561,0.00944525,0.014489144,0.039787084,0.06639761
7,ISIC_0000008,0.19569471,0.20811604,0.7886497,0.82219684,0.21570203,0.19775227,0.7537128,0.8013421,0.8632810115814209,0.0074647665,0.015609264,0.054944277,0.010490894
8,ISIC_0000009,0.18101762,0.27754238,0.7162427,0.73908085,0.17740966,0.2699109,0.6640231,0.72107303,0.8489282131195068,0.027913779,0.012819648,0.04861158,0.010376334
9,ISIC_0000010,0.34344423,0.34305736,0.5870842,0.67943287,0.30428207,0.35669553,0.6278731,0.68226707,0.7234836220741272,0.0008133948,0.00823617,0.07995111,0.010803968
10,ISIC_0000011,0.23874755,0.2755867,0.7358121,0.6852999,0.3006454,0.24767971,0.67183906,0.688548,0.7066115140914917,0.0010375977,0.012329429,0.12587094,0.03115514
11,ISIC_0000012,0.369863,0.40563884,0.6037182,0.6276076,0.35452905,0.37069887,0.63882375,0.6227725,0.6974602937698364,0.009885788,0.019887507,0.050439477,0.030104905
12,ISIC_0000013,0.20939335,0.25309646,0.7632094,0.74103653,0.21912023,0.27849054,0.73989344,0.7125275,0.8364253640174866,0.0067945123,0.0015574694,0.033042908,0.053903103
13,ISIC_0000014,0.13894325,0.25798565,0.78277886,0.74788135,0.14786267,0.27872223,0.7714753,0.72698087,0.8862397074699402,0.0011920631,8.195639e-05,0.020222962,0.041637063
