fname,x1,y1,x2,y2
ISIC_0024306,164,73,464,382
ISIC_0024307,183,84,443,377
ISIC_0024308,110,61,525,422
ISIC_0024309,87,61,488,441
ISIC_0024310,122,75,469,394
ISIC_0024311,80,33,513,434
ISIC_0024312,96,42,490,410
ISIC_0024313,248,162,391,305
ISIC_0024314,183,131,417,345
ISIC_0024315,213,148,401,314
ISIC_0024316,110,35,511,420
ISIC_0024317,91,61,485,403
ISIC_0024318,117,61,445,354
ISIC_0024319,169,87,462,363
ISIC_0024320,84,54,476,405
ISIC_0024321,131,80,471,370
ISIC_0024322,134,59,455,391
ISIC_0024323,110,82,473,373
ISIC_0024324,166,89,412,316
ISIC_0024325,96,45,485,441
ISIC_0024326,192,138,349,284
ISIC_0024327,129,45,488,391
ISIC_0024328,47,23,518,438
ISIC_0024329,141,101,427,398
ISIC_0024330,148,82,466,373
ISIC_0024331,103,70,492,384
ISIC_0024332,105,66,466,420
ISIC_0024333,66,40,464,391
ISIC_0024334,105,38,448,429
ISIC_0024335,248,164,394,302
ISIC_0024336,145,80,469,398
ISIC_0024337,148,70,445,380
ISIC_0024338,141,82,452,380
ISIC_0024339,188,89,424,298
ISIC_0024340,89,63,469,403
ISIC_0024341,145,84,427,366
ISIC_0024342,120,63,464,394
ISIC_0024343,82,45,490,408
ISIC_0024344,216,143,401,316
ISIC_0024345,129,82,483,375
ISIC_0024346,134,66,466,391
ISIC_0024347,131,84,412,347
ISIC_0024348,122,38,485,403
ISIC_0024349,52,16,518,403
ISIC_0024350,162,80,483,412
ISIC_0024351,70,28,530,415
ISIC_0024352,227,176,361,307
ISIC_0024353,101,70,448,412
ISIC_0024354,138,75,480,387
ISIC_0024355,176,96,401,328
ISIC_0024356,162,143,436,366
ISIC_0024357,98,56,518,429
ISIC_0024358,162,98,424,363
ISIC_0024359,98,30,495,387
ISIC_0024360,206,150,363,319
ISIC_0024361,52,35,555,422
ISIC_0024362,120,7,485,422
ISIC_0024363,190,120,417,319
ISIC_0024364,138,108,370,330
ISIC_0024365,103,23,511,420
ISIC_0024366,169,101,420,345
ISIC_0024367,211,145,361,300
ISIC_0024368,173,98,431,349
ISIC_0024369,105,75,499,410
ISIC_0024370,150,73,405,321
ISIC_0024371,145,87,457,384
ISIC_0024372,110,52,490,412
ISIC_0024373,134,70,466,384
ISIC_0024374,112,49,436,410
ISIC_0024375,216,159,338,284
ISIC_0024376,185,110,422,349
ISIC_0024377,204,169,398,338
ISIC_0024378,265,166,401,300
ISIC_0024379,110,73,431,368
ISIC_0024380,176,124,412,340
ISIC_0024381,73,35,553,410
ISIC_0024382,166,91,459,370
ISIC_0024383,136,49,469,396
ISIC_0024384,143,108,422,373
ISIC_0024385,143,96,455,396
ISIC_0024386,110,61,469,377
ISIC_0024387,234,178,359,300
ISIC_0024388,91,33,520,429
ISIC_0024389,220,131,405,295
ISIC_0024390,87,38,497,391
ISIC_0024391,171,115,422,347
ISIC_0024392,115,61,457,415
ISIC_0024393,206,112,396,305
ISIC_0024394,84,23,518,424
ISIC_0024395,96,40,488,417
ISIC_0024396,213,152,366,295
ISIC_0024397,143,91,464,391
ISIC_0024398,192,138,438,361
ISIC_0024399,164,70,469,375
ISIC_0024400,61,45,532,420
