,fname,x1,y1,x2,y2
0,ISIC_0000000,164,124,850,635
1,ISIC_0000001,335,216,659,519
2,ISIC_0000002,168,116,802,647
3,ISIC_0000003,212,88,770,647
4,ISIC_0000004,291,176,711,611
5,ISIC_0000006,323,228,635,547
6,ISIC_0000007,327,236,647,563
7,ISIC_0000008,184,112,810,707
8,ISIC_0000009,252,192,679,583
9,ISIC_0000010,351,268,643,539
10,ISIC_0000011,303,164,735,567
11,ISIC_0000012,375,280,635,511
12,ISIC_0000013,196,160,759,595
13,ISIC_0000014,263,160,790,611
14,ISIC_0000015,244,160,719,603
15,ISIC_0000016,275,92,711,571
16,ISIC_0000017_downsampled,292,156,700,564
17,ISIC_0000018_downsampled,204,140,728,584
18,ISIC_0000019_downsampled,172,196,740,620
19,ISIC_0000020_downsampled,176,92,656,612
20,ISIC_0000021_downsampled,268,136,772,604
21,ISIC_0000022_downsampled,208,132,820,592
22,ISIC_0000023_downsampled,348,172,728,556
23,ISIC_0000024_downsampled,312,136,732,588
24,ISIC_0000025_downsampled,296,168,720,592
25,ISIC_0000026_downsampled,264,112,812,612
26,ISIC_0000027_downsampled,272,200,692,588
27,ISIC_0000028_downsampled,200,156,756,632
28,ISIC_0000029_downsampled,196,80,796,700
29,ISIC_0000030_downsampled,156,68,892,637
30,ISIC_0000031_downsampled,276,156,700,596
31,ISIC_0000032_downsampled,228,176,756,624
32,ISIC_0000034_downsampled,296,228,740,568
33,ISIC_0000035_downsampled,148,112,864,688
34,ISIC_0000036_downsampled,184,108,712,628
35,ISIC_0000037_downsampled,220,68,828,644
36,ISIC_0000038_downsampled,164,112,840,676
37,ISIC_0000039_downsampled,224,192,708,568
38,ISIC_0000040_downsampled,224,168,644,592
39,ISIC_0000041_downsampled,288,224,580,544
40,ISIC_0000042_downsampled,184,136,820,676
41,ISIC_0000043_downsampled,220,164,768,612
42,ISIC_0000044_downsampled,104,116,840,648
43,ISIC_0000045_downsampled,232,112,756,616
44,ISIC_0000046_downsampled,136,132,780,652
45,ISIC_0000047_downsampled,232,136,716,592
46,ISIC_0000048_downsampled,284,224,604,580
47,ISIC_0000049_downsampled,228,96,828,636
48,ISIC_0000050_downsampled,368,256,644,488
49,ISIC_0000051_downsampled,204,116,800,636
50,ISIC_0000052_downsampled,144,80,852,648
51,ISIC_0000053_downsampled,148,120,764,616
52,ISIC_0000054_downsampled,276,188,728,620
53,ISIC_0000055_downsampled,280,160,800,580
54,ISIC_0000056_downsampled,288,128,844,592
55,ISIC_0000057_downsampled,304,188,704,636
56,ISIC_0000058_downsampled,220,124,848,640
57,ISIC_0000059_downsampled,216,152,784,616
58,ISIC_0000060_downsampled,128,148,764,632
59,ISIC_0000061_downsampled,164,76,840,676
60,ISIC_0000062_downsampled,328,232,604,532
61,ISIC_0000063_downsampled,220,116,756,680
62,ISIC_0000064_downsampled,172,172,700,644
63,ISIC_0000065_downsampled,132,144,836,588
64,ISIC_0000066,105,83,767,632
65,ISIC_0000067,180,147,669,587
66,ISIC_0000068,139,177,710,613
67,ISIC_0000069,307,228,639,539
68,ISIC_0000071,295,172,663,551
69,ISIC_0000072,335,200,683,547
70,ISIC_0000073,188,176,766,575
71,ISIC_0000074,275,164,687,579
72,ISIC_0000075,188,84,854,651
73,ISIC_0000077_downsampled,304,124,796,644
74,ISIC_0000078_downsampled,356,240,656,540
75,ISIC_0000079_downsampled,368,244,640,520
76,ISIC_0000080_downsampled,260,188,684,608
77,ISIC_0000081_downsampled,336,244,620,508
78,ISIC_0000082_downsampled,256,112,740,632
