image,MEL,NV,BCC,AKIEC,BKL,DF,VASC
jiuyuan_00001,0,0,1,0,0,0,0
jiuyuan_00002,0,0,1,0,0,0,0
jiuyuan_00003,0,0,1,0,0,0,0
jiuyuan_00004,0,0,1,0,0,0,0
jiuyuan_00005,0,0,1,0,0,0,0
jiuyuan_00006,0,0,1,0,0,0,0
jiuyuan_00007,0,0,1,0,0,0,0
jiuyuan_00008,0,0,1,0,0,0,0
jiuyuan_00009,0,0,1,0,0,0,0
jiuyuan_00010,0,0,1,0,0,0,0
jiuyuan_00011,0,0,1,0,0,0,0
jiuyuan_00012,0,0,1,0,0,0,0
jiuyuan_00013,0,0,1,0,0,0,0
jiuyuan_00014,0,0,0,0,1,0,0
jiuyuan_00015,0,0,0,0,1,0,0
jiuyuan_00016,0,0,0,0,1,0,0
jiuyuan_00017,0,0,0,0,1,0,0
jiuyuan_00018,0,0,0,0,1,0,0
jiuyuan_00019,0,0,0,0,1,0,0
jiuyuan_00020,0,0,0,0,1,0,0
jiuyuan_00021,0,0,0,0,1,0,0
jiuyuan_00022,0,0,0,0,1,0,0
jiuyuan_00023,0,0,0,0,1,0,0
jiuyuan_00024,0,0,0,0,1,0,0
jiuyuan_00025,0,0,0,0,1,0,0
jiuyuan_00026,0,0,0,0,1,0,0
jiuyuan_00027,0,0,0,0,1,0,0
jiuyuan_00028,0,0,0,0,1,0,0
jiuyuan_00029,0,0,0,0,1,0,0
jiuyuan_00030,0,0,0,0,1,0,0
jiuyuan_00031,0,0,0,0,1,0,0
jiuyuan_00032,0,0,0,0,1,0,0
jiuyuan_00033,0,0,0,0,1,0,0
jiuyuan_00034,0,0,0,0,1,0,0
jiuyuan_00035,0,0,0,0,1,0,0
jiuyuan_00036,0,0,0,0,1,0,0
jiuyuan_00037,0,0,0,0,1,0,0
jiuyuan_00038,0,0,0,0,1,0,0
jiuyuan_00039,0,0,0,0,1,0,0
jiuyuan_00040,0,0,0,0,1,0,0
jiuyuan_00041,0,0,0,0,1,0,0
jiuyuan_00042,0,0,0,0,1,0,0
jiuyuan_00043,0,0,0,0,1,0,0
jiuyuan_00044,0,0,0,0,1,0,0
jiuyuan_00045,0,0,0,0,1,0,0
jiuyuan_00046,0,0,0,0,1,0,0
jiuyuan_00047,0,0,0,0,1,0,0
jiuyuan_00048,0,0,0,0,1,0,0
jiuyuan_00049,0,0,0,0,1,0,0
jiuyuan_00050,0,0,0,0,1,0,0
jiuyuan_00051,0,0,0,0,1,0,0
jiuyuan_00052,0,0,0,0,1,0,0
jiuyuan_00053,0,0,0,0,1,0,0
jiuyuan_00054,0,0,0,0,1,0,0
jiuyuan_00055,0,0,0,0,1,0,0
jiuyuan_00056,0,0,0,0,1,0,0
jiuyuan_00057,0,0,0,0,1,0,0
jiuyuan_00058,0,0,0,0,1,0,0
jiuyuan_00059,0,0,0,0,1,0,0
jiuyuan_00060,0,0,0,0,1,0,0
jiuyuan_00061,0,0,0,0,1,0,0
